"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"47"	"TRINITY_DN10016_c0_g1"	-0.0655178552812215	3.04205841332578	-0.544972208463867	0.596036983084269	0.741430475630337	-6.80201114114425	"Unchanged"	199	234	244	239	226	266	204	211	235	182
"48"	"TRINITY_DN10017_c0_g1"	-0.288192711049606	3.87358552764633	-2.81102132634855	0.0160988823286962	0.0668377522588913	-3.87611435411435	"Unchanged"	395.36	433.36	470.36	445.52	449.5	367.49	324.01	430.64	387.33	300.24
"49"	"TRINITY_DN10018_c0_g1"	0.493106067969291	2.71322435205645	4.20196073332353	0.00130407187220879	0.0123798537574447	-1.14620361761413	"Unchanged"	141	148	183	136	145	223	215	208	229	183
"50"	"TRINITY_DN10019_c0_g1"	0.188550325875677	2.85210571528987	1.13890782400185	0.277587693899326	0.456017163275189	-6.25795577858627	"Unchanged"	205.38	192.54	164.7	194.24	167.91	253.77	136.73	192.94	332.37	167.85
"51"	"TRINITY_DN100194_c0_g1"	-0.0374773874262672	-0.784762351035608	-0.100699457635391	0.92149885819704	0.955587983797742	-6.07111482765482	"Unchanged"	19	9	24	23	17	15	13	8	28	10
"52"	"TRINITY_DN1002_c0_g1"	-0.182089850624321	4.87648523978133	-2.24620730155129	0.0448938417541799	0.133813072492964	-5.02126534930193	"Unchanged"	803.15	879.19	908.48	785.05	896.04	743.97	675.92	685.5	855.5	763.89
"53"	"TRINITY_DN1002_c0_g2"	-0.112386545757642	5.24006644148037	-1.1434691308106	0.275765221649063	0.454219021817461	-6.66057004458345	"Unchanged"	1087.23	1000.65	1132.08	1090.74	1044.86	964.73	993.71	1137.75	959.48	860.18
"54"	"TRINITY_DN1002_c1_g1"	-0.656314422212074	2.0253108035085	-2.79202602542037	0.0166694157200383	0.0684121474706559	-3.54545622030913	"Unchanged"	199.98	144.79	97.63	142.59	126.31	90.4	115.4	77.84	103.68	55.49
"55"	"TRINITY_DN10020_c0_g1"	0.275575887565805	-0.876390288373669	0.912043408573293	0.380206213130652	0.558253673259773	-5.6345439425249	"Unchanged"	20	21	13	10	12	13	7	16	24	15
"56"	"TRINITY_DN10021_c0_g1"	0.277276520528061	6.0335383573635	4.03499728889783	0.00174862466484237	0.0149943944735049	-1.9104660732925	"Unchanged"	1748.04	1495.33	1906	1365	1670	1883.02	1657.44	1943.79	2336.74	1895.02
"57"	"TRINITY_DN100214_c0_g1"	-0.0126326811220921	0.023973369102231	-0.0401307294776703	0.968667470200153	0.982947021430349	-6.27530541633306	"Unchanged"	20	33	48	25	27	44	18	31	24	17
"58"	"TRINITY_DN10022_c0_g1"	0.222498230085128	-0.0268135138152569	0.76594132563555	0.458928198608157	0.627877359457992	-5.9649649784416	"Unchanged"	41	16	33	28	19	26	33	25	29	22
"59"	"TRINITY_DN10023_c0_g1"	0.403868502364773	4.49563217479074	5.30406743605767	0.000205741519984687	0.00375898119364699	0.46389806773526	"Unchanged"	525.98	475.03	604.97	481.73	585.32	726.42	569.72	702.95	821.26	686.12
"60"	"TRINITY_DN100231_c0_g1"	-0.0607660179517971	1.18520447981379	-0.20330820419117	0.842396936356594	0.909448292163369	-6.51922312163571	"Unchanged"	57	78.69	98.2	40.21	63.8	58.72	48.93	48.4	134.98	32.83
"61"	"TRINITY_DN100235_c0_g1"	1.15513486514946	-1.58932396423794	2.19211129851747	0.0494370339069312	0.142929342009881	-3.81534158008287	"Unchanged"	10	3	7	5	16	23	5	9	13	15
"62"	"TRINITY_DN10024_c0_g1"	0.338273577828508	5.66946167609612	2.09932270442229	0.058259719152062	0.15993652047902	-5.35613894683767	"Unchanged"	1157.35	1357.15	1606.04	757.84	1493.82	1440.61	1230.12	1695.31	1646.1	1741.89
"63"	"TRINITY_DN10024_c1_g1"	0.0140408670485339	-0.0772118107681054	0.0454616296657098	0.964508237876033	0.980479722760776	-6.25256211502846	"Unchanged"	25	36	27	25	23	30	38	13	25	21
"64"	"TRINITY_DN10025_c0_g1"	0.266303059267482	4.75530828385522	3.23688132457274	0.00737192194295931	0.0394147455420722	-3.23699210956366	"Unchanged"	695	590.14	683.49	673.74	725.49	938.87	671.69	772.27	935.71	694.4
"65"	"TRINITY_DN10026_c0_g1"	0.183994090429041	0.879329389411326	0.916863480561371	0.377777953870339	0.55595986603971	-6.04006452995065	"Unchanged"	52	55	53	44	40	73	44	37	69	40
"66"	"TRINITY_DN100261_c0_g1"	0.560941054396531	-0.916001794498809	1.50961055544519	0.157741193514936	0.313036385598033	-4.96131831295035	"Unchanged"	18.45	10.78	10.13	16.77	10.95	28.39	10.51	19.97	11.47	13.61
"67"	"TRINITY_DN10027_c0_g1"	0.27822158331589	5.19402912087095	2.43691730697962	0.0318561601045238	0.105963088505161	-4.73251217142272	"Unchanged"	927.72	846.14	1075.53	763.4	947.06	1171.89	704.01	1226.96	1398.18	1047.3
"68"	"TRINITY_DN100276_c0_g1"	0.865558288604661	-1.5895220442691	1.14789630774163	0.274005193502929	0.452207921832018	-5.15735094493044	"Unchanged"	7	11	7	6	8	1	11	17	34	11
"69"	"TRINITY_DN100277_c0_g1"	-0.666064253287949	-1.3889930046888	-1.83725399077355	0.0917614998857389	0.21688779821625	-4.38461915921187	"Unchanged"	14.38	14.38	20.19	8.43	13.87	12.11	6.57	6.16	5.74	4.75
"70"	"TRINITY_DN10028_c0_g1"	0.87751517020442	0.562279588344359	2.88578367381675	0.0140356762154927	0.0608208768390884	-3.10056838030914	"Unchanged"	29.33	26.35	45.8	26.92	28.93	44.36	96.35	50.45	50.14	36.8
"71"	"TRINITY_DN10028_c1_g1"	0.502422344962936	-0.104176731305455	1.79915282803387	0.0978910214688913	0.22670971366563	-4.75820534338306	"Unchanged"	29	30	13	17	28	35	22	33	25	26
"72"	"TRINITY_DN10028_c1_g2"	0.26930555697035	0.741281188795749	1.13963969533074	0.277294650179831	0.455736722494574	-5.78682155769409	"Unchanged"	48.29	50	40.35	34.89	42.49	42.68	40.17	30.83	92.2	47.02
"73"	"TRINITY_DN10028_c2_g1"	0.0913542997913963	4.75652949617879	0.908558875997871	0.381968405950752	0.559914932436797	-6.8384151755853	"Unchanged"	717.23	640.79	804.78	703.17	719.89	702.98	609.93	670.26	1013.73	811.01
"74"	"TRINITY_DN100280_c0_g1"	-0.912332889259336	-1.25651751669001	-3.12736256825345	0.00900966786807235	0.0450077925250113	-2.41637784240463	"Unchanged"	17.82	19.63	16.38	12.55	17.56	7.3	3.21	5.52	9.67	8.75
"75"	"TRINITY_DN10029_c0_g1"	0.516505449809018	-1.4231215132127	0.75968034131417	0.46252084628028	0.631212428805187	-5.55899148769844	"Unchanged"	16	12	6	9	6	28	11	22	3	6
"76"	"TRINITY_DN1003_c0_g1"	-0.099876437025885	3.67244038378809	-0.975382060336765	0.349162149068203	0.528671286611155	-6.59477796594111	"Unchanged"	418.44	307.3	386.23	308.37	379.16	378.47	292.61	350.28	423.76	250.33
"77"	"TRINITY_DN1003_c0_g2"	0.299935942203996	8.74708562748915	4.8756795676811	0.00041358597435057	0.00581575872050203	-0.622685737619342	"Unchanged"	11025.97	9708.52	10520.83	9947.49	10121.23	13352.78	11355.72	12995.39	16539.75	12231.18
"78"	"TRINITY_DN1003_c0_g3"	-0.922943185165965	2.95443709500864	-7.91327778890238	5.02056717017952e-06	0.000411807954864532	4.48423507198923	"Unchanged"	315.7	263.16	333.67	217.35	328.1	167.47	139.43	144.95	192.23	123.72
"79"	"TRINITY_DN10030_c0_g1"	0.795469621611321	2.1151459720913	4.80267378364308	0.00046703426183273	0.00625522298334007	-0.00476856777309198	"Unchanged"	72.83	108.09	98.55	89.93	87.62	207.15	124.71	141.34	169.05	136.05
"80"	"TRINITY_DN100305_c0_g1"	-0.195911738584806	-0.679664883211848	-0.578738832894257	0.573768880413438	0.723919126655871	-5.9349869854265	"Unchanged"	17.86	16.17	30.51	12.14	23.21	22.48	13.36	6.31	19.79	13.56
"81"	"TRINITY_DN100308_c0_g1"	0.916103465193373	0.589945624743848	2.67369576522197	0.0207020539030467	0.079240352838889	-3.47302561945795	"Unchanged"	23	34	32	59	21	56	82	44	57	38
"82"	"TRINITY_DN10031_c0_g1"	-0.121648051983031	-1.31885389495313	-0.229457522804114	0.822486711178813	0.896959893889259	-5.86201745931927	"Unchanged"	12.05	5	18.01	20.19	12	14	12	11.51	4.16	7.45
"83"	"TRINITY_DN100311_c0_g1"	1.11427547958939	-1.46812034254765	1.93420200086036	0.0777089734806564	0.193830540978923	-4.21664018190181	"Unchanged"	13.75	13.47	6.26	12.59	2.08	13.71	6.26	11.38	23.09	10.37
"84"	"TRINITY_DN10032_c0_g1"	0.240151663963305	2.80708097628867	1.9337063719442	0.0777754923290157	0.193916424628352	-5.16786319185521	"Unchanged"	184.87	183.05	198.41	162.73	146.24	238.56	205.25	200.22	225.25	168.34
"85"	"TRINITY_DN10032_c0_g2"	0.242425127106805	2.64922296716403	1.88535314291302	0.0845224995504285	0.205198324988723	-5.20997492200733	"Unchanged"	169.92	168.54	167.78	119.57	161.68	236.43	157.59	180.9	226.18	138.5
"86"	"TRINITY_DN10032_c1_g1"	0.533853354780269	-0.819038781413963	1.42978985768322	0.179006841330692	0.340866458267797	-5.09127042833635	"Unchanged"	8	13.54	21.36	16	14	25.47	10	12.75	16.5	22.27
"87"	"TRINITY_DN10032_c2_g1"	1.82690057751169	1.50816535037056	9.54390924396357	7.40932432695553e-07	0.000152651727070999	6.32343830421317	"Up-regulated"	39.83	45.74	46.07	37.72	44.4	128.3	129.6	130.29	238.07	115.04
"88"	"TRINITY_DN10033_c0_g1"	0.0899517564426948	2.8225898322043	0.601810465651827	0.558814249914435	0.712732228094642	-6.72091546198602	"Unchanged"	166.38	155.54	206.43	224.73	186.94	185.92	145.13	195.2	286.48	193.16
"89"	"TRINITY_DN100330_c0_g1"	-1.33737104903823	-1.68844461268115	-1.71331167887799	0.113074368224369	0.249623669213883	-4.44078682842021	"Unchanged"	46	15	15	4	15	3	5	2	20	1
"90"	"TRINITY_DN100343_c0_g1"	0.14204374583718	-0.868869036245766	0.312343672351436	0.760291416066866	0.856205441452915	-6.00011304994451	"Unchanged"	17.19	6.39	19.92	19.95	20.26	9.19	4	22	23.62	19.17
"91"	"TRINITY_DN100348_c0_g1"	0.379051156813664	-1.25431727442624	0.89623042900145	0.388248610849492	0.5656051952319	-5.5171928508507	"Unchanged"	24	10	11	4	14	11	11	8	24	7
"92"	"TRINITY_DN100349_c0_g1"	0.636735200364661	-0.81883405510745	1.40281578266322	0.186719701820489	0.350354843000365	-5.12051771846957	"Unchanged"	28	14	8	25	6	12	15	20.6	21	18
"93"	"TRINITY_DN10035_c0_g1"	0.400734467133399	-0.722218427975587	0.908699397681366	0.381897231882889	0.55988604688254	-5.68108202734355	"Unchanged"	16	20	5	17	31	15	9	16	34	16
