"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"3672","TRINITY_DN72991_c0_g1",-1.1060189580489,0.0401918584551314,-5.13045669549087,0.000272189706768214,0.00445257269533683,0.724841877264419,50,43,42,33,46,15,9,19,26,20
"3673","TRINITY_DN73011_c0_g1",-1.78031127806945,-0.232776961500363,-5.17799227650232,0.000252004102742391,0.00425543469489643,0.78573085518609,62.61,37.14,56.05,29.16,43.38,11.19,17.43,12,16.39,3.03
"3674","TRINITY_DN73029_c0_g1",-3.87900130908544,-0.35764194679048,-6.86614760010417,2.00289887381271e-05,0.000916191432350371,2.49487444504739,93,64,137,45,93,3,4,2,6,8
"3675","TRINITY_DN7308_c0_g1",1.31618564438386,1.12740931603689,4.29618168012498,0.00110671872989418,0.0111045213710178,-0.713854289016724,45,24,46,45,41,149,97,96,106,43
"3676","TRINITY_DN73100_c0_g1",-2.46917865525659,-1.9016168954044,-4.03364725003076,0.00175279965207199,0.0150222941246034,-1.26836508151699,21,14,16,19,22,4,3,0,4,3
"3677","TRINITY_DN73135_c0_g1",-1.81513847896494,-1.12201800859336,-4.12770789220481,0.00148520285396813,0.0134905925902106,-0.865106655623772,18,20,28,20,41,6,8,7,4,3
"3678","TRINITY_DN73153_c0_g1",-1.48801998317956,-0.76160268471325,-3.72915879618433,0.0030159367726636,0.0214824964010089,-1.4661268883354,60,21,21,20,33,7,4,10,13,7
"3679","TRINITY_DN73191_c0_g1",-1.04151433990915,-0.739932995067084,-3.29979719906106,0.00657076607828597,0.0364312474784967,-2.18338859713,33,29,24,14,27,14,10,11.41,12,4
"3680","TRINITY_DN73204_c0_g1",-1.25404834622753,-0.963112981647418,-3.13663582957777,0.00885778820065283,0.0444940136431458,-2.42225939849694,33,19,19,14,31,5,7,16,5,9
"3681","TRINITY_DN7323_c0_g2",-1.21296003941751,2.48528221379393,-7.86167124464479,5.35850357628707e-06,0.000426130163797738,4.45537477082877,184,221.79,299.57,219,247.49,105.37,80.49,88.03,137.54,84.01
"3682","TRINITY_DN73263_c0_g1",-3.20866315150725,-1.14523533172289,-6.10433754736525,5.98214022956768e-05,0.00175593410267898,1.34047589360234,45.41,36.73,24.4,35.33,51.66,1.01,4.04,3.67,2.02,4.04
"3683","TRINITY_DN73266_c0_g1",-1.24062377570916,-1.0355507258028,-4.33108952150188,0.00104172675368571,0.0106765705407423,-0.530126331577956,24,20,24,15,25,6,9,6,8,7
"3684","TRINITY_DN7329_c2_g1",1.09961631812422,0.20307192425834,4.23343497506732,0.00123436685836137,0.0119505959047941,-0.720281299684922,19.93,15.06,32.65,16.82,35.05,36.73,37.61,42.08,66.17,39.6
"3685","TRINITY_DN733_c0_g3",-1.07853174966138,6.62077226504416,-3.41290436491404,0.0053457026923371,0.0317144540945579,-3.09536750472913,4033.5,3678.41,4262.27,3050.15,4817.23,1763.38,1289.38,803.07,4189.29,2499.11
"3686","TRINITY_DN7330_c1_g1",-1.5276370543175,-0.189196125952868,-5.23778464351142,0.000228828917022179,0.00400457967366581,0.881064747813798,33.01,38,59.01,39,45,14,5,12.26,15,18
"3687","TRINITY_DN73310_c0_g1",2.65106573025303,0.570323729984852,4.64665782409269,0.000607019495777154,0.00744283079233886,-0.0440242041064547,13,29,43,28,4,140,73,155,95,59
"3688","TRINITY_DN7332_c0_g1",2.11864977301404,-1.04012270841742,4.04388169777617,0.00172140527927691,0.0148475982469315,-0.990549695069485,9,5,8,12,5,40,20,11,41,27
"3689","TRINITY_DN7333_c1_g1",-1.47745513111874,1.14786605228848,-4.96788371960245,0.0003551059616516,0.00527379855943931,0.406870951035476,165.13,86.81,98.93,62.59,120.2,27.22,18.66,33.92,75.65,30.9
"3690","TRINITY_DN7333_c3_g3",1.57712128375628,-1.04326341633004,3.73262387299291,0.00299721608937068,0.0214023342939426,-1.45656255729859,5.39,7.03,7.28,15.21,10.91,33.2,13.29,18.7,17.49,24.28
"3691","TRINITY_DN73330_c0_g1",-2.15193328955526,-1.3859252119612,-4.23127884655054,0.00123901608379842,0.0119828100664793,-0.806600283866738,33,35.45,19,13,25,5,1,3,11,2
"3692","TRINITY_DN7341_c0_g1",1.15871037999844,1.34579442325755,6.12811769111913,5.77443102235028e-05,0.00171902804204299,2.1687178242499,55.51,36.85,58.59,47.73,42.07,94.15,78.54,127.26,104.36,107.89
"3693","TRINITY_DN73423_c0_g1",1.06567056880268,1.76206640426324,4.78127296452927,0.000484040232816101,0.00641350360611463,0.0155343081533816,91,59,53,65,61,161,174,116,120,105
"3694","TRINITY_DN7343_c0_g1",-1.06751176126758,2.45732038087302,-4.51510485741393,0.000759103864112198,0.0086376950251462,-0.54285132440236,299,241,241,168,156,128,132,95,114,58
"3695","TRINITY_DN73455_c0_g1",-1.56811190508013,-0.806945857932422,-4.58902390147167,0.000669298670551196,0.00795401796907877,-0.131823981108045,33.05,28.93,30.11,14,39,7.14,4,9.18,8.05,9.22
"3696","TRINITY_DN73511_c0_g1",-2.84923716019688,-2.2388788117038,-4.44143899185819,0.000861196109268417,0.00941534021692833,-0.859151978076847,22,15,13,23,13,3,0,3,2,1
"3697","TRINITY_DN73520_c0_g1",-1.54011315554441,0.10713954098813,-4.90100860805276,0.000396576789354361,0.00567935970241523,0.370919569429301,70.26,63.09,52.02,24.53,56.05,15.01,22,14.02,15.01,12.02
"3698","TRINITY_DN73557_c0_g1",-1.12263469240347,-0.183485211491364,-3.72200023470053,0.00305499370593939,0.0216865612944896,-1.53898876490912,58,30,25,28,53,20,9,13,20,12
"3699","TRINITY_DN7357_c0_g1",1.27991728290553,2.42350376185008,7.59396813752904,7.54979283311781e-06,0.000515880379379536,4.11689875652146,92,117,94,100,74,226,231,239,218,218
"3700","TRINITY_DN73596_c0_g1",2.41144049926614,0.371129021615495,7.19967719082739,1.2704474516178e-05,0.000690585682094481,3.54212309346438,19,29,26,5,15,70,64,82,106,81
"3701","TRINITY_DN73609_c0_g1",1.18672943255096,-0.401121586077655,3.32131246200969,0.00631753471576994,0.035454016811399,-2.19303370828069,9,19,9,19,25,23,27,22,44,30
