"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"72"	"TRINITY_DN10025_c1_g1"	-0.367494508297954	4.25391906764834	-2.15608918294427	0.0524317166400386	0.153789461735754	-5.01535730955756	"Unchanged"	537.23	436.81	901.05	504.7	671.18	442.58	300.83	485.78	631.81	463.12
"73"	"TRINITY_DN10025_c2_g1"	-0.60008335394925	3.75543452701817	-5.79618585525183	9.08505456259521e-05	0.00241105462556022	1.45350195475107	"Unchanged"	447.22	482.17	508.08	355.27	472.18	286.86	277.43	291.37	399.39	244.27
"74"	"TRINITY_DN10025_c3_g1"	-0.203865869926824	2.5420241934981	-0.534273879154713	0.60306669500753	0.751053548660743	-6.63669345694873	"Unchanged"	132.08	172.89	153.83	117.73	334.46	228.57	259.73	143.98	138.12	55.13
"75"	"TRINITY_DN100253_c0_g1"	0.331837548670518	-1.2908291347275	0.846119257097745	0.414305606197041	0.596129116132569	-5.44986559104255	"Unchanged"	14	10	8	5	22.99	9	12.36	14	13.29	7
"76"	"TRINITY_DN10026_c0_g1"	-0.115643568254234	2.6108938292396	-0.830176064739559	0.42290765099749	0.604109297618645	-6.44480008213051	"Unchanged"	207	167	189	131	172	142	180	169	186	124
"77"	"TRINITY_DN10027_c0_g1"	-0.379831729635223	4.17933696498795	-3.69010077057478	0.00317314114447725	0.0241177376518037	-2.24904903003892	"Unchanged"	592.67	567.62	548.68	587.06	515.51	380.07	347.96	469.59	546.92	422.47
"78"	"TRINITY_DN10027_c1_g2"	-1.57244533283212	0.614645569906947	-5.74589781227014	9.82042942050243e-05	0.00254031129511251	1.67660568848962	"Down-regulated"	79.51	46.05	83.77	70.63	96.83	38.27	13.36	23.45	28.72	13.86
"79"	"TRINITY_DN10027_c2_g1"	0.498140584204627	0.435095705418026	1.55740144794597	0.145761191329504	0.302608033130021	-5.14099262337393	"Unchanged"	35.67	27.96	16.92	42.31	48.39	35.01	39.43	62.34	36.16	38.06
"80"	"TRINITY_DN10027_c2_g2"	0.00118782090834994	0.948698013460435	0.0054626133245298	0.995732695938452	0.99772576864703	-6.41833346702375	"Unchanged"	64.44	36	62.03	53	58.26	57	30	49.09	56.1	65
"81"	"TRINITY_DN10028_c0_g1"	-0.106115578912755	3.31106594000549	-0.859097921899707	0.407390058286323	0.589939123735949	-6.56847399449739	"Unchanged"	275.14	274.98	258.74	322.75	266.93	310.38	212.54	241.74	279.67	254.39
"82"	"TRINITY_DN1003_c0_g1"	-0.0104171992909597	3.53733174636998	-0.10067931287535	0.9214943936888	0.958345825143349	-6.99317001536053	"Unchanged"	326	333	283	297	340	324	261	308	347	330
"83"	"TRINITY_DN10030_c0_g2"	0.424516645837865	3.63859776243126	3.33418956253837	0.00607633950423937	0.0368774636670077	-2.81501631379963	"Unchanged"	362.7	256.22	265.6	255.79	322.69	334.61	387.03	372.84	448.22	419.78
"84"	"TRINITY_DN10031_c0_g1"	-0.0341614279855345	1.47936372838505	-0.168339529851824	0.869165337553791	0.927849094780801	-6.52987885632705	"Unchanged"	74.43	77.18	75.29	95.62	68.55	91.15	75.75	79.36	60.91	59.93
"85"	"TRINITY_DN10032_c0_g1"	0.399075416489543	3.68153117170082	3.2936504850618	0.00654619887126417	0.0386377858070302	-2.89710398241254	"Unchanged"	250	294.98	330.96	335.91	307.97	431.98	395	363.73	427.92	374.97
"86"	"TRINITY_DN10033_c0_g1"	0.181108378806511	0.151688453119405	0.629484494891639	0.541020952998304	0.704156472363172	-6.0265803683211	"Unchanged"	29.46	37.12	19.94	32.23	31.73	20.4	27.49	38.9	28.08	38.31
"87"	"TRINITY_DN100335_c0_g1"	-0.306493619044621	-1.67056785200831	-0.436769391114393	0.670159111806558	0.798883405789681	-5.53379370948725	"Unchanged"	14.03	22.75	1.79	9.91	19.46	7.1	3.62	4.14	14.04	3.2
"88"	"TRINITY_DN10034_c0_g1"	0.118718692366296	3.57492928387093	0.500141571108948	0.626166157261746	0.768063827330071	-6.87277620601996	"Unchanged"	274	266	488	301	271	373	197	580	399	243
"89"	"TRINITY_DN10035_c0_g1"	-0.0817730184935906	3.11782058113605	-0.196667293034839	0.847432393616919	0.915225805577574	-6.8923907945671	"Unchanged"	120.85	235.27	166.1	386.28	507.57	344.82	141.69	162.13	446.93	154.51
"90"	"TRINITY_DN10035_c2_g1"	1.07410867722745	-0.583690954893513	3.12627688930068	0.00890900805476771	0.0471335349860778	-2.45338408760438	"Up-regulated"	14.1	19.55	11.56	13.22	10.84	33.93	24.32	29.74	28.01	10.89
"91"	"TRINITY_DN10036_c0_g1"	-0.292491036894062	5.19950343532193	-2.43011021399308	0.032025632491928	0.110405371059865	-4.67468980649157	"Unchanged"	1026.62	922.16	1584.87	972.81	1141.43	866.24	721.59	927.5	1209.1	796.67
"92"	"TRINITY_DN10036_c1_g1"	-0.48992925578094	0.886238260711372	-2.24063315154551	0.0450867454856466	0.139163375231268	-4.20348146974773	"Unchanged"	70.79	69.96	43.73	49.43	76.61	48.46	25.91	44.23	41.89	42.94
"93"	"TRINITY_DN10036_c2_g1"	0.00827525281691092	3.47418528148156	0.0570824237570494	0.955434156307001	0.976799822139955	-6.98451391784868	"Unchanged"	290.22	270.25	330.2	285.38	328.11	254.69	251.23	245.54	417.13	373.55
"94"	"TRINITY_DN10036_c3_g1"	-0.495482759645996	-1.14356624151779	-1.12541307455512	0.28277061228765	0.467523518728521	-5.24817285664994	"Unchanged"	10.72	25.01	16.95	13.88	14.11	3.79	10.91	7.93	9.97	17.36
"95"	"TRINITY_DN10038_c0_g1"	0.152151940667748	-0.391703754042929	0.479195168735164	0.640552438748553	0.778449666840473	-5.98676578498711	"Unchanged"	23	19	31	10	27	14	20	31	24	15
"96"	"TRINITY_DN10039_c1_g1"	0.600026016720718	0.431423066885088	2.64360094431672	0.0216827116908369	0.0852665597400705	-3.4405180343335	"Unchanged"	27.61	30.9	34.24	35.88	28.39	54.23	35.73	55.47	43.82	29.5
"97"	"TRINITY_DN10039_c3_g1"	-0.193378108502115	0.0872719526651647	-0.660482349753208	0.521621925346335	0.688812078997484	-5.99136823458008	"Unchanged"	26	31.05	50	22	37.02	16	27	22	30	34
"98"	"TRINITY_DN10039_c3_g2"	-0.0812430313661069	3.39775905604027	-0.718595913131134	0.486367643558269	0.659273815483163	-6.69916824433802	"Unchanged"	287.02	325.02	318.95	220.88	332.66	263.98	225.39	306.44	348.69	253.49
"99"	"TRINITY_DN10039_c4_g2"	-0.123591116988665	0.801440433396233	-0.557496167915208	0.587602160070247	0.739938294778572	-6.22111962482172	"Unchanged"	54.53	46.91	48.42	50.5	53	45.72	35.42	57.82	32.62	49.17
"100"	"TRINITY_DN1004_c0_g1"	0.187418953146045	4.4977709874683	0.580338147149465	0.572595864885472	0.728421266869573	-6.98669936926041	"Unchanged"	427.41	693.32	632	395	861.64	322.02	444.77	720.79	1141.7	971
